CLADATA,NOMBRE,DESCRIPCIO,FISNAME
193,TABLA VALESCFG,,VALESCFG.DBF
194,TABLA VALESTPV,,VALESTPV.DBF
195,TABLA VENDEDOR,,VENDEDOR.DBF
196,TABLA VISITAS,,VISITAS.DBF
197,TABLA WEBCOLORS,,WEBCOLORS.DBF
198,TABLA WINDOWPREFS,,WINDOWPREFS.DBF
199,TABLA ZONAS,,ZONAS.DBF
200,TABLA ZONASFPAGO,,ZONASFPAGO.DBF
201,TABLA ZONAS_ENV,,ZONAS_ENV.DBF
202,TABLA ZONAS_ONLINE,,ZONAS_ONLINE.DBF
203,TABLA ARTATRIB,,ARTATRIB.DBF
203,TABLA AVISOLEGAL,,AVISOLEGAL.DBF
203,TABLA EMAILSINV,,EMAILSINV.DBF
203,TABLA HOMEPAGE,,HOMEPAGE.DBF
203,TABLA IMAGESWEB,,IMAGESWEB.DBF
203,TABLA LIQUIDATPV,,LIQUIDATPV.DBF
203,TABLA LOCKMESA,,LOCKMESA.DBF
203,TABLA PRINTERSTPV,,PRINTERSTPV.DBF
203,TABLA REBAJASTPV,,REBAJASTPV.DBF
203,TABLA TIPOSCLIFPA,,TIPOSCLIFPA.DBF
203,TABLA TIPOSDOCWEB,,TIPOSDOCWEB.DBF
203,TABLA WAIRSTORE,,WAIRSTORE.DBF
203,TABLA APPTPVMSG,,APPTPVMSG.DBF
203,TABLA ARTCOMBINA,,ARTCOMBINA.DBF
203,TABLA ARTSCOCINA,,ARTSCOCINA.DBF
203,TABLA BACKUPCFG,,BACKUPCFG.DBF
203,TABLA BLOQHORAS,,BLOQHORAS.DBF
203,TABLA CARTAHOST,,CARTAHOST.DBF
203,TABLA CESIONARIOS,,CESIONARIOS.DBF
203,TABLA CONTRATOBK,,CONTRATOBK.DBF
203,TABLA DIVISAS,,DIVISAS.DBF
203,TABLA DIVISASL,,DIVISASL.DBF
203,TABLA EMPLEADOS,,EMPLEADOS.DBF
203,TABLA ENTEMP,,ENTEMP.DBF
203,TABLA GRUPOCOCINA,,GRUPOCOCINA.DBF
203,TABLA LASTBACKUP,,LASTBACKUP.DBF
203,TABLA MENUHOST,,MENUHOST.DBF
203,TABLA MENUHOSTL,,MENUHOSTL.DBF
